Campaign Record ID#,Campaign Name,Initiative Record ID#,Initiative -Website,Initiative - Page Name,Initiative - Campaign Type,Initiative Record ID# - CF Required Completion Date,Campaign Link Neighborhood,Instruction Set (URL),Raw File (URL),Estimated ULD's (Queued),Actual ULD's (Post Filters),CF Start Date,CF Status,Assigned CF TL,CF Completion Date,Cleaned For Email Marketing (# of Contacts for EM),CF Attrition,Campaign Contact List (URL),Contact Finding: History/Notes/Issues,Email Marketing Status,Email Marketing Required Send Date,Email Marketing Projected Send Date,Email Marketing Actual Send Out Date,Promoted URL,Correspondence Template,Panic Template,12 Week Check,Overlapping Contacts,Email DNC,# Total Email Sent,Projected Links From Email Sent,Final Campaign Contact List/Panic Gdoc,Email Marketing: History/Notes/Issues,# of Assignments,Add Pusedo Assignment,Total Bucketed,Total Bucketing/Auto Responses,Total Bucketing/Positive Responses,Total Bucketing/Negative Responses,Total Bucketing/Hard Bounces,Total Bucketing/Wrong Contact,Total Response Rate %,Total Auto Responses %,Total Positive Responses %,Total Negative Responses %,Total Link Promises,Total Open Threads,Total Closed,# of Links Built,Actual Conversion %,Projected Conversion (To Date) %,Links,Total Closed/Do Not Contact,Total Closed/Not Interested,Total Closed/Not Relevant,Total Closed/No Response,Total Closed/Wrong Contact,Age of Campaign (Day),Age of Campaign (Week),Projected Links Built To Date,Performance - Links Builts Vs. Projected to Date,Performance Status,Campaign Performance: History/Notes/Issues,Contacts,Add Contact,Actual Contacts Harvested (Ref Only),Initial Email Sent Date (For Verification Only),QA Start Date,QA Completion Date,# of DNC,# of GOV Links,# of EDU Links,Total T2 Sent,# of ULD
4592,Alabama_EdLabs_OCNET,818,OnlineColleges.net,Alabama,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-09-2016,02-09-2016,http://www.onlinecolleges.net/alabama/,https://docs.google.com/document/d/1ee_s4BdCH7jCqfu6USdrAnl-Ua03PG_cBguJt2DvncI/edit,https://docs.google.com/spreadsheets/d/1CbU8V7Q6UxtffQqiadkterfrG287MxYNyVL9i3WvZ54/edit#gid=1716671053,4,,,1260,9.45,https://drive.google.com/open?id=1UEPIv2YwGlixMfoFnRzbPQaYzqAcL-vBfx8O1SkiBzs,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4592&z=bgfd,0,0,0,0,0,0,0%,0%,0%,0%,0,0,0,6,0.23809523809524%,0.73965%,4592,0,0,0,0,0,337 days,48,9.31959,-3.31959,<font color=red><b>Under Performing</b></font>,,4592,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4592&z=bgfd,82,02-09-2016,,,1,0,0,0,3
4593,Alabama_CMN_OCNET,818,OnlineColleges.net,Alabama,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-09-2016,02-09-2016,http://www.onlinecolleges.net/alabama/,https://docs.google.com/document/d/1oSazUT2eOfBNHvupp1N6E54Gkg-Lu00DiKH9_V1cttE/edit,https://docs.google.com/spreadsheets/d/16IR-7TQXgMt98cK0wqAGFdDKaB6lWLnJl5q410hJJ6k/edit#gid=1716671053,0,,,658,4.935,https://drive.google.com/open?id=1Mb8i6tJz1llGi6KUj66v6I0jxih7--YpGDaDI4tJjNY,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4593&z=bgfd,132,18,49,7,58,0,20.060790273556%,2.7355623100304%,7.4468085106383%,1.063829787234%,0,47,85,8,0.75987841945289%,0.73965%,4593,6,11,1,0,6,337 days,48,4.866897,3.133103,<font color=green><b>Performing</b></font>,,4593,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4593&z=bgfd,126,02-09-2016,,,5,0,0,30,5
4596,Arizona_EdLabs_OCNET,820,OnlineColleges.net,Arizona,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-09-2016,02-09-2016,http://www.onlinecolleges.net/arizona/,https://docs.google.com/document/d/1Is_55arm9E9R8Dw7fTaslbtvjH7CrTxA_Z2MS9r_0uc/edit,https://docs.google.com/spreadsheets/d/1kHQ8Pf6E6_tYDq_Cnu2grXQZKIVFSeff3zA2U-KIM4g/edit#gid=1716671053,39,,,2829,21.2175,https://drive.google.com/open?id=1Wuq-ph1ekm7TWuih3eMpbhvdZ3wqnFzksIwPyY2O0YM,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4596&z=bgfd,701,115,335,44,205,0,24.779073877695%,4.0650406504065%,11.841640155532%,1.555319901025%,5,263,438,27,0.7423117709438%,0.73965%,4596,56,75,41,0,37,337 days,48,20.9246985,6.0753015,<font color=green><b>Performing</b></font>,,4596,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4596&z=bgfd,773,02-09-2016,,,54,0,1,190,21
4597,Arizona_CMN_OCNET,820,OnlineColleges.net,Arizona,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-09-2016,02-09-2016,http://www.onlinecolleges.net/arizona/,https://docs.google.com/document/d/1TaQ4-MigkyTmAKAU23UGSge_ERSTD7l1H_e6Db0H9v8/edit,https://docs.google.com/spreadsheets/d/1xejV0Wva-Xz0GFgwn-GP5LIWJwdYitgGD_zX3iHV2i0/edit#gid=1716671053,0,,,391,2.9325,https://drive.google.com/open?id=1UUKnIHBnKZ1dec-Q9fynx4wcoE4SoUb0eekdRVwRVQs,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4597&z=bgfd,162,23,77,4,57,0,41.432225063939%,5.8823529411765%,19.693094629156%,1.0230179028133%,1,50,112,6,1.2787723785166%,0.73965%,4597,8,20,9,0,9,337 days,48,2.8920315,3.1079685,<font color=green><b>Performing</b></font>,,4597,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4597&z=bgfd,145,02-09-2016,,,8,0,0,51,5
4601,California_CMN_OCNET,822,OnlineColleges.net,California,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-01-2016,02-01-2016,http://www.onlinecolleges.net/california/,https://docs.google.com/document/d/12CDQg7jQ_egRloTYzSrWz_k1hCtjeI86UHQBgppWD3I/edit,https://docs.google.com/spreadsheets/d/1C2ty4P4s8OqM2ABQWdK4qJJM1Vso_x3lJLMxIXgDVkg/edit#gid=1716671053,1,,,2372,17.79,https://drive.google.com/open?id=1gRwerk-7y0V0UFWgGpEFt-Rf0vElKPFKZHcwqkOQugw,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4601&z=bgfd,712,170,273,34,227,0,30.016863406408%,7.1669477234401%,11.509274873524%,1.433389544688%,6,237,475,15,0.63237774030354%,0.7422%,4601,50,76,29,0,49,345 days,49,17.604984,-2.604984,<font color=red><b>Under Performing</b></font>,,4601,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4601&z=bgfd,801,02-01-2016,,,45,0,3,194,15
4600,California_EdLabs_OCNET,822,OnlineColleges.net,California,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-01-2016,02-01-2016,http://www.onlinecolleges.net/california/,https://docs.google.com/document/d/1elnxXdDvBBKf-TIdxKv4Tbm8tpMQPWwauas0NKz_mnc/edit,https://docs.google.com/spreadsheets/d/116U3BvG02J4jgOu9NSGMV-YjRej5r3vQeR42gEC0hTM/edit#gid=1716671053,0,,,"10,621",79.6575,https://drive.google.com/open?id=1ho1l6LQVqJIQ5RnNRlYevrM-gpd6moV86JB4RFb9naw https://drive.google.com/open?id=1GiiH02jGBuCHvlOryb010L4chUMyu9U9KUFFHOyLzJ8,,2,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4600&z=bgfd,1905,297,212,58,562,0,17.936164202994%,2.7963468599944%,1.996045570097%,0.5460879389888%,6,672,1233,68,0.48018077393842%,0.7422%,4600,113,228,66,95,97,345 days,49,78.829062,-10.829062,<font color=red><b>Under Performing</b></font>,,4600,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4600&z=bgfd,2132,02-01-2016,,,105,1,7,598,51
4609,Florida_CMN_OCNET,826,OnlineColleges.net,Florida,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-01-2016,02-01-2016,http://www.onlinecolleges.net/florida/,https://docs.google.com/document/d/1M3M1PFpoiSZelHY595sQFB3zM-luUvNVJqDkYJDuz1c/edit,https://docs.google.com/spreadsheets/d/1XBO-Y_Nftg9id8lVTMOwKSJZIcQXii58_v-cTkUQdSc/edit#gid=1716671053,0,,,1785,13.3875,https://drive.google.com/open?id=180I35KDg96pE83FaqSuzd2WOedc5eYqkl4B1qpHnPIw,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4609&z=bgfd,519,59,228,16,203,0,29.0756302521%,3.3053221288515%,12.773109243697%,0.89635854341737%,0,170,349,18,0.89635854341737%,0.7422%,4609,29,51,26,0,23,345 days,49,13.24827,4.75173,<font color=green><b>Performing</b></font>,,4609,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4609&z=bgfd,494,02-01-2016,,,15,0,0,170,16
4610,Georgia_EdLabs_OCNET,827,OnlineColleges.net,Georgia,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-01-2016,02-01-2016,http://www.onlinecolleges.net/georgia/,https://docs.google.com/document/d/1vzHTG4aDS3Fu-vihxkPr5JZIhlloJc92NxBeEIz60zQ/edit,https://docs.google.com/spreadsheets/d/1qfeBtTLJNRUly3QS2nTpXsoY7Wwzcucer6dkLDEaCzk/edit#gid=1716671053,0,,,2702,20.265,https://drive.google.com/open?id=1KxiGhd71D7BHhuqfyKISGg_bhq_7XsD2E-pQFUngH1o,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4610&z=bgfd,566,66,309,25,160,1,20.947446336047%,2.4426350851221%,11.435973353072%,0.92524056254626%,2,239,327,51,1.1843079200592%,0.7422%,4610,33,53,20,0,34,345 days,49,20.054244,30.945756,<font color=green><b>Performing</b></font>,,4610,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4610&z=bgfd,709,02-01-2016,,,29,2,0,180,32
4611,Georgia_CMN_OCNET,827,OnlineColleges.net,Georgia,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-01-2016,02-01-2016,http://www.onlinecolleges.net/georgia/,https://docs.google.com/document/d/1Visp5rnveNqA6IHi8Mbws-ue9lLoM5YsoR5Wb_w4lX4/edit,https://docs.google.com/spreadsheets/d/160fHJDVAeq_ItCrWZrc6pa04wSduulcVCabfZXpSKjI/edit#gid=1716671053,12,,,494,3.705,https://drive.google.com/open?id=1Kk5880mtu9lhjhxTNZAXvS3mWThxe82zsKcCAom_zk4,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4611&z=bgfd,198,21,98,9,69,0,40.08097165992%,4.251012145749%,19.838056680162%,1.8218623481781%,1,59,139,13,2.0242914979757%,0.7422%,4611,12,19,13,0,11,345 days,49,3.666468,9.333532,<font color=green><b>Performing</b></font>,,4611,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4611&z=bgfd,198,02-01-2016,,,12,0,0,62,10
4619,Indiana_CMN_OCNET,831,OnlineColleges.net,Indiana,RMI,,,,,,,,11. CF Complete/Ready for Email Marketing,,,,,,,7. Email Marketing In Progress,,02-01-2016,02-01-2016,http://www.onlinecolleges.net/indiana/,https://docs.google.com/document/d/1bC3wmqY2h9tRpFIB8uYStsbydusSmybQ7IlCFHUzhG4/edit,https://docs.google.com/spreadsheets/d/1lanAYLxUhZRtH1Tox4aXd1xZkh87D53u5mEH1C1pEj4/edit#gid=1716671053,37,,,599,4.4925,https://drive.google.com/open?id=1Ed4I7JVtXPTaFTxLdVjJpPV-vguIc4Hue8t29V-D8Wc,,1,https://donniedinh.quickbase.com/db/bkmbxcgut?a=API_GenAddRecordForm&_fid_6=4619&z=bgfd,204,26,110,13,55,0,34.056761268781%,4.3405676126878%,18.363939899833%,2.170283806344%,0,58,146,9,1.1686143572621%,0.7422%,4619,20,27,15,0,15,345 days,49,4.445778,4.554222,<font color=green><b>Performing</b></font>,,4619,https://donniedinh.quickbase.com/db/bkmbxb9n2?a=API_GenAddRecordForm&_fid_31=4619&z=bgfd,219,02-01-2016,,,17,0,0,71,7
