Campaign Record ID#,Campaign Name,Initiative Record ID#,Initiative -Website,Initiative - Page Name,Initiative - Campaign Type,Initiative Record ID# - CF Required Completion Date,Campaign Link Neighborhood,Instruction Set (URL),Raw File (URL),Estimated ULD's (Queued),Actual ULD's (Post Filters),CF Start Date,CF Status,Assigned CF TL,CF Completion Date,Cleaned For Email Marketing (# of Contacts for EM),CF Attrition,Campaign Contact List (URL),Contact Finding: History/Notes/Issues,Email Marketing Status,Email Marketing Required Send Date,Email Marketing Projected Send Date,Email Marketing Actual Send Out Date,Promoted URL,Correspondence Template,Panic Template,12 Week Check,Overlapping Contacts,Email DNC,# Total Email Sent,Projected Links From Email Sent,Final Campaign Contact List/Panic Gdoc,Email Marketing: History/Notes/Issues,# of Assignments,Add Pusedo Assignment,Total Bucketed,Total Bucketing/Auto Responses,Total Bucketing/Positive Responses,Total Bucketing/Negative Responses,Total Bucketing/Hard Bounces,Total Bucketing/Wrong Contact,Total Response Rate %,Total Auto Responses %,Total Positive Responses %,Total Negative Responses %,Total Link Promises,Total Open Threads,Total Closed,# of Links Built,Actual Conversion %,Projected Conversion (To Date) %,Links,Total Closed/Do Not Contact,Total Closed/Not Interested,Total Closed/Not Relevant,Total Closed/No Response,Total Closed/Wrong Contact,Age of Campaign (Day),Age of Campaign (Week),Projected Links Built To Date,Performance - Links Builts Vs. Projected to Date,Performance Status,Campaign Performance: History/Notes/Issues,Contacts,Add Contact,Actual Contacts Harvested (Ref Only),Initial Email Sent Date (For Verification Only),QA Start Date,QA Completion Date,# of DNC,# of GOV Links,# of EDU Links,Total T2 Sent,# of ULD
954,UPSELL_Expertise_GuideLocalMarketing,424,Expertise.com,Expertise-Guide-to-Local-Marketing,UPSELL,12-31-2015,,,,,,03-30-2015,11. CF Complete/Ready for Email Marketing,,03-31-2015,56,,https://docs.google.com/spreadsheets/d/1clTn2gapmHEUuqwZvRAR0qIeTmRBf-ekfuRgiS9PySw/edit#gid=947150605,,7. Email Marketing In Progress,03-30-2015,03-31-2015,03-31-2015,http://www.expertise.com/rank-in-google-maps-how-to-fix-your-local-listings/,https://docs.google.com/document/d/1vwnK6amUeKg1ZWRsl1RhOj6UMLyy-h9DxBNUR0REfJo/edit?pli=1#bookmark=id.7qlhp9786bb7,,,,,56,22.4,,,1,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=954&z=e9u,0,0,0,0,0,0,0%,0%,0%,0%,0,0,0,23,26.785714285714%,0%,954,0,0,0,0,0,649 days,92,0,23,<font color=green><b>Performing</b></font>,,954,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=954&z=e9u,56,03-31-2015,,,0,1,1,0,15
1112,RMI_SmallBusiness_Optimizing_RS_Expertise.com,466,Expertise.com,Ranking Your Website: What Every Small Business Should Know,RMI,08-26-2015,small businesses Resources,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/1RJWUyQcYnFRXY7_TCap8x0X9ZCxcl_FYNnxtTy-Js08/edit#gid=272765101,"10,957",5592,04-13-2015,11. CF Complete/Ready for Email Marketing,Marilyn Mayor <58901068.cj3s>,04-18-2015,3862,30.937052932761%,https://docs.google.com/spreadsheets/d/1lR6eR6Czo6jnikMrqKBEKOPLT5Im0zCZYxHM1tfI9iU/edit#gid=19682733,"[APR-18-15 Ralph Angelo Aguilar] Contact Counts: Bad=896 (23.20%) ; Good=2966 (76.80%) ; Grand Total=3862

[APR-22-15 Christopher Angala] [APR-18-15 Ralph Angelo Aguilar] Contact Counts: Bad=896 (23.20%) ; Good=2966 (76.80%) ; Grand Total=3862",7. Email Marketing In Progress,,04-22-2015,04-22-2015,http://www.expertise.com/optimizing-your-website-what-every-small-business-should-know/,https://docs.google.com/a/educationlabs.org/document/d/1s1iM-_-8gQRdmNQjPUABLXDIUipuPhLamFyqWODBKaM/edit,https://docs.google.com/a/educationlabs.org/spreadsheets/d/1nwXno2RqIqYxegjV-t9KpHLNr-P2yzum5OZ-LzSZ3dk/edit#gid=1716671053,,,,3337,27.0297,https://drive.google.com/open?id=1jLzOddOn4vgf7WWTyLPkcWT4sNSmf8b0H_NhD01KlI0&authuser=0 https://drive.google.com/open?id=1eiAlOI7lAEgfKFo04QNV7cANsaZAY5uWtsVnYSDaOJ0&authuser=0 https://drive.google.com/open?id=1y_6TnIALxqj8iZjgucRXmDnwvWm7SS3FX1q9A4w5KdU&authuser=0 https://drive.google.com/open?id=1JjQvtDJg5taHwggrdrPxcMPJOg78jxX2mBDIASeiBVk&authuser=0 https://drive.google.com/open?id=1oJ5ULfhnMn0MNgsvo6L6E7UVwicT2HNF1s6_OyRy4zQ&authuser=0 https://drive.google.com/open?id=1HYTFuKshAusbjLwYYxwvfiGcg6xqz6MGm-HWPKgvW2k&authuser=0,"[APR-21-15 DONNIE DINH] This campaign will require sales agent to do some crafting, especially if its a responses to NRR1 emails.

[APR-22-15 Christopher Angala] [APR-21-15 DONNIE DINH] This campaign will require sales agent to do some crafting, especially if its a responses to NRR1 emails.",6,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1112&z=e9u,1167,195,510,139,303,2,34.971531315553%,5.8435720707222%,15.283188492658%,4.1654180401558%,1,133,1034,23,0.59934072520228%,0%,1112,63,185,142,248,75,627 days,89,0,23,<font color=green><b>Performing</b></font>,,1112,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1112&z=e9u,3337,04-22-2015,04-18-2015,04-18-2015,71,2,1,409,20
1116,RMI_WomenEntrepreneurs_Optimizing_RS_Expertise.com,466,Expertise.com,Ranking Your Website: What Every Small Business Should Know,RMI,08-26-2015,women entrepreneurs Resources,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/1EBHt5iNFx8zrDnbQU38D1DOp0y1w5Gfyc3iopiuQ5ns/edit#gid=282962623,4398,1137,04-13-2015,11. CF Complete/Ready for Email Marketing,Roy Ariate <58942791.6xw8>,04-18-2015,720,36.675461741425%,https://docs.google.com/spreadsheets/d/14ZgrWnkCU3V9r9L19CoK9E9WO7Vf0tIgbuTwp60FMps/edit#gid=1609142150,"[APR-17-15 Ralph Angelo Aguilar] Contact Counts: Bad=304 (42.22%) ; Good=416 (57.78%) ; Grand Total=720

[APR-22-15 Christopher Angala] [APR-17-15 Ralph Angelo Aguilar] Contact Counts: Bad=304 (42.22%) ; Good=416 (57.78%) ; Grand Total=720",7. Email Marketing In Progress,,04-22-2015,04-22-2015,http://www.expertise.com/optimizing-your-website-what-every-small-business-should-know/,https://docs.google.com/a/educationlabs.org/document/d/1SrUoRJqjmymr9eXV44BInzSGFW4wAQsQlPapqdrmn74/edit,https://docs.google.com/a/educationlabs.org/spreadsheets/d/1K-Z9_FfcgmZDik6y99_xb1djGkBTucUlhSr3EZJmC_w/edit#gid=1716671053,,,,658,5.3298,https://drive.google.com/open?id=1eTuUwYJADj1skSTf9-KX-hoVC0PTk8gRm5CD2lmhFiU&authuser=0,,1,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1116&z=e9u,345,39,197,23,80,0,52.43161094225%,5.9270516717325%,29.939209726444%,3.4954407294833%,0,12,333,9,1.2158054711246%,0%,1116,20,50,85,67,19,627 days,89,0,9,<font color=green><b>Performing</b></font>,,1116,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1116&z=e9u,658,04-22-2015,04-17-2015,04-17-2015,22,0,2,164,8
1313,RMI_AffordableDuiLawyerTips_RS_Expertise.com,469,Expertise.com,How to Hire A DUI Attorney in 2015,RMI,05-07-2015,Affordable Dui Lawyer Tips Resources,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/1Y0ibZ_FaWlvC_JE1kZ2gOZw-3BqvK6ivUu0d54OhsQk/edit#gid=1494866593,873,19,04-22-2015,10. Ready Cleaning,Daniel Encamina <58885773.d3pv>,,,100%,,,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1313&z=e9u,,,,,,,,,,,,,,0,,0%,1313,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1313,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1313&z=e9u,0,,04-27-2015,04-27-2015,0,0,0,,0
1322,RMI_BankruptcyLawRS_Bankruptcy_RS_Expertise.com,471,Expertise.com,How to Hire A Bankruptcy Attorney in 2015,RMI,05-15-2015,Bankruptcy Law Resources,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/18cXIf2KfremsB7KGhRN6CLb6f7f8B6cAjtIodCqdj_g/edit#gid=1708857138,3657,1209,,4. Ready For Harvesting/CF Team,,04-28-2015,413,65.839536807279%,https://docs.google.com/spreadsheets/d/1___b15xn3-E6e2rxo8DmEsToR_Ev7cAGyj9nQgTw47o/edit#gid=1609142150,[APR-28-15 Byron Tirso Balueta] Contacts Count: Bad=236(57.14%) ; Good=177(42.86%) ; Grand Total=413,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1322&z=e9u,,,,,,,,,,,,,,0,,0%,1322,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1322,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1322&z=e9u,0,,,,0,0,0,,0
1316,RMI_Chapter13_Bankruptcy_RS_Expertise.com,471,Expertise.com,How to Hire A Bankruptcy Attorney in 2015,RMI,05-15-2015,Chapter 13 Bankruptcy ,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/19Vu6WXCGj3d5I30_NBUOfSRpaadL60v_4gf0LogpmfM/edit#gid=1310136384,1030,520,,14. CF Complete - List/Campaign Re-allocated to Other campaign.,,04-28-2015,154,70.384615384615%,https://docs.google.com/spreadsheets/d/1e8mMLTXRG1pCHYBVoH7eVTY_NkTHXdQ5IF2kOrP1qPk/edit#gid=1609142150,[APR-28-15 Byron Tirso Balueta] Contacts Count: Bad=47(30.52%) ; Good=107(69.48%) ; Grand Total=154,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1316&z=e9u,,,,,,,,,,,,,,0,,0%,1316,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1316,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1316&z=e9u,0,,04-23-2015,04-23-2015,0,0,0,,0
1223,RMI_AffordableDUIAttorneyGuide_DUI_RS_Expertise.com,469,Expertise.com,How to Hire A DUI Attorney in 2015,RMI,05-07-2015,Affordable DUI  Guide ,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/1UZiwvAfoabeNWmLKRmmLCzZ2-yj_8uGHLiaNCSbmZxw/edit#gid=220464312,786,250,04-20-2015,14. CF Complete - List/Campaign Re-allocated to Other campaign.,Rovelin Antivola <58892879.dqke>,04-28-2015,110,56%,https://docs.google.com/spreadsheets/d/1HRQcLtJE_F_tEifaSso_oRpuiQy09ybiGW6NWJ3dIjU/edit#gid=1609142150,[APR-28-15 Ralph Angelo Aguilar] Contact Counts: Bad=32 (29.09%) ; Good=78 (70.91%) ; Grand Total=110,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1223&z=e9u,,,,,,,,,,,,,,0,,0%,1223,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1223,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1223&z=e9u,0,,04-22-2015,04-22-2015,0,0,0,,0
1224,RMI_AffordableDUIAttorney_DUI_RS_Expertise.com,469,Expertise.com,How to Hire A DUI Attorney in 2015,RMI,05-07-2015,Affordable DUI Attorney Resources,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/1QQnS1ySpAVbGcfFJKNp6Uc1LZQmcU9FTAeliknfbME0/edit#gid=1862855445,1339,266,04-20-2015,14. CF Complete - List/Campaign Re-allocated to Other campaign.,Rovelin Antivola <58892879.dqke>,04-28-2015,103,61.278195488722%,https://docs.google.com/spreadsheets/d/1enpE9CKVUSfaUzVAULwZ2XXCCgg-16ZjBEUumVuB14Q/edit#gid=1609142150,[APR-28-15 Ralph Angelo Aguilar] Contact Counts: Bad=26 (25.24%) ; Good=77 (74.76%) ; Grand Total=103,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1224&z=e9u,,,,,,,,,,,,,,0,,0%,1224,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1224,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1224&z=e9u,0,,04-23-2015,04-23-2015,0,0,0,,0
1225,RMI_AffordableDUILawyerGuide_DUI_RS_Expertise.com,469,Expertise.com,How to Hire A DUI Attorney in 2015,RMI,05-07-2015,Affordable DUI Lawyer Guide Resources,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/1tSXQeUO4YCZlNSwRcvuXzPsSnUFngvNF_SrkuGrOsAA/edit#gid=2092241125,816,46,,14. CF Complete - List/Campaign Re-allocated to Other campaign.,Rovelin Antivola <58892879.dqke>,04-28-2015,10,78.260869565217%,https://docs.google.com/spreadsheets/d/1v_i0zRbWLRr6-LEvMcKm0in1WFVBW45F6ba4upHm2ho/edit#gid=1609142150,[APR-28-15 Ralph Angelo Aguilar] Contact Counts: Bad=2 (20.00%) ; Good=8 (80.00%) ; Grand Total=10,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1225&z=e9u,,,,,,,,,,,,,,0,,0%,1225,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1225,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1225&z=e9u,0,,04-24-2015,04-24-2015,0,0,0,,0
1317,RMI_Chapter7_Bankruptcy_RS_Expertise.com,471,Expertise.com,How to Hire A Bankruptcy Attorney in 2015,RMI,05-15-2015,Chapter 7  ,https://docs.google.com/document/d/1nzVoek7S5-O7GVCzhwcgE5P66mMSeaJkCjCvj7SWiZs/edit,https://docs.google.com/spreadsheets/d/17u8fFxs85TLSpNjX7hYgyGfB7GUuJRvO3-KqTbiSQNI/edit#gid=1931863767,2265,718,,14. CF Complete - List/Campaign Re-allocated to Other campaign.,,04-28-2015,227,68.384401114206%,https://docs.google.com/spreadsheets/d/1nc8MeSyzF7hakeHfWYwtvCUqoCbRLOQD4DFfzGk9Jh4/edit#gid=1609142150,[APR-28-15 Byron Tirso Balueta] Contacts Count: Bad=100(44.05%) ; Good=127(55.95%) ; Grand Total=227,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bj7qbyjei?a=API_GenAddRecordForm&_fid_6=1317&z=e9u,,,,,,,,,,,,,,0,,0%,1317,,,,,,,,0,0,<font color=green><b>Performing</b></font>,,1317,https://donniedinh.quickbase.com/db/bj7qbycpx?a=API_GenAddRecordForm&_fid_31=1317&z=e9u,0,,04-23-2015,04-24-2015,0,0,0,,0
