Date Created,Date Modified,Campaign Record ID#,Campaign Name,Initiative Record ID#,Initiative -Website,Initiative - Page Name,Initiative - Campaign Type,Initiative Record ID# - CF Required Completion Date,Campaign Link Neighborhood,Instruction Set (URL),Raw File (URL),Estimated ULD's (Queued),Actual ULD's (Post Filters),CF Start Date,CF Status,Assigned CF TL,CF Completion Date,Cleaned For Email Marketing (# of Contacts for EM),CF Attrition,Campaign Contact List (URL),Contact Finding: History/Notes/Issues,Email Marketing Status,Email Marketing Required Send Date,Email Marketing Projected Send Date,Email Marketing Actual Send Out Date,Promoted URL,Correspondence Template,Panic Template,12 Week Check,Overlapping Contacts,Email DNC,# Total Email Sent,Projected Links From Email Sent,Final Campaign Contact List/Panic Gdoc,Email Marketing: History/Notes/Issues,# of Assignments,Add Pusedo Assignment,# of Links Built,Actual Conversion %,Projected Conversion (To Date) %,Links,Age of Campaign (Day),Age of Campaign (Week),Contacts,Add Contact,Actual Contacts Harvested (Ref Only),Initial Email Sent Date (For Verification Only),QA Start Date,QA Completion Date
01-13-2016 08:08 AM,01-13-2016 02:55 PM,4487,RMI_LibraryList_TaxSoftware_DIR_Reviews.com,735,Reviews.com,Online Tax Software,RMI,01-08-2016,Library List,https://docs.google.com/document/d/1S2VadckKauN5542VduTwvH7D84Xj9zfo09VYOhiP3jE/edit,https://docs.google.com/spreadsheets/d/1Sa9uUfqfRukHSNkA0cKMEddC3-6wZp7Bc3jYE--GWF8/edit#gid=114144404,7275,4293,01-12-2016,14. CF Complete - List/Campaign Re-allocated to Other campaign.,Julie Ann Marie Donio <58858854.cekc>,01-13-2016,1178,72.559981365013%,https://docs.google.com/spreadsheets/d/1THpVyWkIUtWA9xHv7Q7KYfYbKKcmz1_wIzfBZ8NB6s4/edit#gid=1609142150,[JAN-13-16 Lowell Dela Pena] Actual Contacts=1747 ; Cleaned for Email Marketing=1178 ; DNC Domain=140 ; Bad Email=1 ; Duplicate=42 ; Email DNC=72 ; Duplicate Database=374 ; Attrition=32.57%,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4487&z=iqm,0,,0%,4487,,,4487,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4487&z=iqm,0,,01-13-2016,01-13-2016
01-13-2016 08:30 AM,01-13-2016 02:55 PM,4488,RMI_LibraryListRedo_TaxSoftware_DIR_Reviews.com,735,Reviews.com,Online Tax Software,RMI,01-08-2016,Libraries_Tax_Harvesting Sheet REDO,https://docs.google.com/document/d/1S2VadckKauN5542VduTwvH7D84Xj9zfo09VYOhiP3jE/edit,https://docs.google.com/spreadsheets/d/1JffFHt9bm4h0sgmjeXcWdG09a41lK1uItpgB3lvOw1U/edit?ts=5695bb2e#gid=2,1697,346,01-13-2016,14. CF Complete - List/Campaign Re-allocated to Other campaign.,Julie Ann Marie Donio <58858854.cekc>,01-13-2016,92,73.410404624277%,https://docs.google.com/spreadsheets/d/18YbrApm1CCkmDt4MgYEBnHoZZuG2Pqygo_aYN3qD6Bk/edit#gid=1609142150,[JAN-13-16 Lowell Dela Pena] Actual Contacts=162 ; Cleaned for Email Marketing=92 ; DNC Domain=10 ; Bad Email=0 ; Duplicate=2 ; Email DNC=5 ; Duplicate Database=53 ; Attrition=43.2%,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4488&z=iqm,0,,0%,4488,,,4488,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4488&z=iqm,0,,01-13-2016,01-13-2016
01-13-2016 11:57 AM,01-13-2016 02:55 PM,4491,Libraries_TaxResources,735,Reviews.com,Online Tax Software,RMI,01-08-2016,Library Tax Resources,,,,,01-13-2016,14. CF Complete - List/Campaign Re-allocated to Other campaign.,,01-13-2016,1478,,,,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4491&z=iqm,0,,0%,4491,,,4491,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4491&z=iqm,0,,01-13-2016,01-13-2016
01-18-2016 12:21 PM,01-18-2016 12:21 PM,4494,ChildNutrition_Reviews,736,Reviews.com,Multivitamins,RMI,01-15-2016,Childhood nutrition resources,,,,,01-18-2016,11. CF Complete/Ready for Email Marketing,,01-18-2016,3221,,,,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4494&z=iqm,0,,0%,4494,,,4494,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4494&z=iqm,0,,01-18-2016,01-18-2016
01-18-2016 10:03 PM,01-18-2016 10:03 PM,4504,RMI_CombinedBL1_EyeCream_BL_Reviews.com,737,Reviews.com,Eye Cream,RMI,01-15-2016,eyecream.org lavive.org agelesseyecream.org intothegloss.com Backlinks,https://docs.google.com/document/d/1S2VadckKauN5542VduTwvH7D84Xj9zfo09VYOhiP3jE/edit,https://docs.google.com/spreadsheets/d/1juPZsgkL9RUPlOZBk7LKLZ6N_k_M4LyemL90pKwGj-Y/edit#gid=1530132147,5976,233,11-13-2016,11. CF Complete/Ready for Email Marketing,Julie Ann Marie Donio <58858854.cekc>,01-18-2016,65,72.103004291845%,https://docs.google.com/spreadsheets/d/1tZUBBrI-BaUizAKv3j3B1INH5QfnfWHJkK4wMJTPw4g/edit#gid=1609142150,"[JAN-18-16 Lowell Dela Pena] Actual Contacts= 91; Cleaned for Email Marketing=65 (Good Contacts=65, Duplicate Database=0); DNC Domain=0; Bad Email= 0; Duplicate= 25; Email DNC= 1; Foreign=0 ; Attrition=28.57%",,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4504&z=iqm,0,,0%,4504,,,4504,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4504&z=iqm,65,,01-18-2016,01-18-2016
01-18-2016 10:24 PM,01-18-2016 10:24 PM,4505,RMI_CombinedBL2_EyeCream_BL_Reviews.com,737,Reviews.com,Eye Cream,RMI,01-15-2016,beautyassociation.org lookgoodfeelbetter.org revivalbeautycream.org mybeautybunny.com celloplexcream.org vitayouthcream.org supremias.org probeauty.org Backlinks,https://docs.google.com/document/d/1S2VadckKauN5542VduTwvH7D84Xj9zfo09VYOhiP3jE/edit,https://docs.google.com/spreadsheets/d/1_7dwdoVzmU5z0O6RK4Ogjv57tou5lBL6cq5MGiui0xM/edit#gid=363615119,4987,247,01-13-2016,11. CF Complete/Ready for Email Marketing,Julie Ann Marie Donio <58858854.cekc>,01-18-2016,92,62.753036437247%,https://docs.google.com/spreadsheets/d/10-bws6uziSGWDPjJPUiiCFWCjEUcX_Utv88S2EeLncc/edit#gid=1609142150,"[JAN-18-16 Lowell Dela Pena] Actual Contacts= 94; Cleaned for Email Marketing=92 (Good Contacts=77, Duplicate Database=15); DNC Domain=0; Bad Email= 0; Duplicate= 2; Email DNC= 0; Foreign=0 ; Attrition=18.09%",,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4505&z=iqm,0,,0%,4505,,,4505,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4505&z=iqm,92,,01-18-2016,01-18-2016
01-18-2016 10:28 PM,01-18-2016 10:28 PM,4506,RMI_AADLinksandResource_EyeCream_BL_Reviews.com,737,Reviews.com,Eye Cream,RMI,01-15-2016,aad.org Backlinks,https://docs.google.com/document/d/1S2VadckKauN5542VduTwvH7D84Xj9zfo09VYOhiP3jE/edit,https://docs.google.com/spreadsheets/d/1E_VHpUiooWk8hXCdKRz_Vvc_P_VRn-nLJY7onD3h-TE/edit#gid=1548521324,"17,963",302,01-13-2016,11. CF Complete/Ready for Email Marketing,Julie Ann Marie Donio <58858854.cekc>,01-19-2016,122,59.602649006623%,https://docs.google.com/spreadsheets/d/1hnz5zKHqPZSRbtQ94TSAARNn87Ksq5DYebE3vj_3wSw/edit#gid=1609142150,"[JAN-18-16 Lowell Dela Pena] Actual Contacts= 126; Cleaned for Email Marketing=122 (Good Contacts=109, Duplicate Database=13); DNC Domain=2; Bad Email= 0; Duplicate= 1; Email DNC= 1; Foreign=0 ; Attrition=13.49%",,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4506&z=iqm,0,,0%,4506,,,4506,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4506&z=iqm,122,,01-19-2016,01-19-2016
01-19-2016 03:04 PM,01-19-2016 03:04 PM,4511,Chicago_RealEstate_HSEC_Reviews,738,Reviews.com,Home Security Systems,RMI,01-15-2016,Chicago Real Estate,,,,,01-19-2016,11. CF Complete/Ready for Email Marketing,,01-19-2016,1788,,,,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4511&z=iqm,0,,0%,4511,,,4511,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4511&z=iqm,0,,01-19-2016,01-19-2016
01-19-2016 03:06 PM,01-19-2016 03:06 PM,4512,Philadelphia_RealEstate_HSEC_Reviews,738,Reviews.com,Home Security Systems,RMI,01-15-2016,Philadelphia Real Estate,,,,,01-19-2016,11. CF Complete/Ready for Email Marketing,,01-19-2016,906,,,,,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4512&z=iqm,0,,0%,4512,,,4512,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4512&z=iqm,0,,01-19-2016,01-19-2016
01-19-2016 05:00 AM,01-19-2016 07:04 PM,4508,RMI_CombinedBL2_HomeSecuritySystems_BL_Reviews.com,738,Reviews.com,Home Security Systems,RMI,01-15-2016,hocmn.org alarm.org esaweb.org afaa.org alarmgrid.com adt.com Backlinks,https://docs.google.com/document/d/1S2VadckKauN5542VduTwvH7D84Xj9zfo09VYOhiP3jE/edit,https://docs.google.com/spreadsheets/d/1Mg4R9_0CqvyIKq0Gi9VvoO94U04t0QBCi6glcPf0zfA/edit#gid=1104112506,7312,2165,01-13-2016,11. CF Complete/Ready for Email Marketing,Julie Ann Marie Donio <58858854.cekc>,01-19-2016,949,56.166281755196%,https://docs.google.com/spreadsheets/d/1hAyM30ZrfHJHZ0XlMZ71vDqC6J73a6t9GK3omlwc9yo/edit#gid=1609142150,"[JAN-19-16 Lowell Dela Pena] Actual Contacts=1174 ; Cleaned for Email Marketing=1132 (Good Contacts=1108, Duplicate Database=24); DNC Domain=5 ; Bad Email=2 ; Duplicate=30 ; Email DNC=5 ; Attrition=5.62%

[JAN-19-16 Lowell Dela Pena] Additional DNC Domain Count = 162

[JAN-19-16 Lowell Dela Pena] UPDATED NOTES:

Actual Contacts=1174 ; Cleaned for Email Marketing=Good Contacts=949 ; Duplicate Database=21; DNC Domain=5 ; Bad Email=2 ; Duplicate=30 ; Email DNC=5 ; Additional DNC Domain Count = 162, Attrition=19.17%

[JAN-19-16 Lowell Dela Pena] Uploaded contacts include Duplicate Database",,,,,,,,,,,,0,,,0,https://donniedinh.quickbase.com/db/bkig5hrew?a=API_GenAddRecordForm&_fid_6=4508&z=iqm,0,,0%,4508,,,4508,https://donniedinh.quickbase.com/db/bkig5hmcr?a=API_GenAddRecordForm&_fid_31=4508&z=iqm,0,,01-19-2016,01-19-2016
