Link Record ID#,Campaign Type,Campaign - Initiative - Page Name,Campaign  Name - Look up,Campaign Name,Link URL,Link Domain,Original URL,Page Rank - URL,Page Rank - Domain,Anchor Text,Anchor Text Type,Inbound URL,Inbound URL Type,Link Location,Date Reported,Date T1 Sent,Link Type,Customer Name,Related Campaign,ULD,Campaign - Initiative Record ID# - Marketing Project - Page Type,Campaign - Email Marketing Actual Send Out Date
5607,RMI,Online Tax Software,Reviews_OnlineTaxSoftware_PT1,Reviews_OnlineTaxSoftware_PT1,http://www.wegalibrary.org/income-tax-information,http://www.wegalibrary.org/,,,4,http://www.reviews.com/online-tax-software/,URL,reviews.com/online-tax-software/,Internal,Bottom,01-22-2016,01-13-2016,Org,Reviews.com,4492,y,Vertical Review,01-13-2016
5608,RMI,Online Tax Software,Reviews_OnlineTaxSoftware_PT1,Reviews_OnlineTaxSoftware_PT1,http://www.markhamlibrary.org/Reference.html,http://www.markhamlibrary.org/,,,4,Free Review of Tax Filing Programs,Misc,reviews.com/online-tax-software/,Internal,Middle,01-20-2016,01-13-2016,Org,Reviews.com,4492,y,Vertical Review,01-13-2016
5609,RMI,Affordable Online Colleges,AffordableOnlineColleges_TSD_PT1,AffordableOnlineColleges_TSD_PT1,http://huronhighschoolcounselingdepartm.weebly.com/choosing-a-collegecareer.html,http://huronhighschoolcounselingdepartm.weebly.com,,,2,http://www.thesimpledollar.com/affordable-online-colleges/,URL,thesimpledollar.com/affordable-online-colleges/,Internal,Middle,01-20-2016,01-12-2016,Misc,TheSimpleDollar.com,4472,y,Affordable Review,01-12-2016
5610,RMI,Multivitamins,ChildNutrition_Reviews_PT1,ChildNutrition_Reviews_PT1,http://peprimer.com/nutri.html,http://peprimer.com/,,,1,http://www.reviews.com/best-multivitamin/#kids,URL,reviews.com/best-multivitamin/#kids,Internal,Middle,01-28-2016,01-21-2016,,Reviews.com,4525,y,Vertical Review,01-21-2016
5611,RMI,Multivitamins,Reviews_GenNutrition_PT1,Reviews_GenNutrition_PT1,http://www.vitamincfoundation.org/forum/viewtopic.php?f=3&t=12358,http://www.vitamincfoundation.org/,,,,http://www.reviews.com/best-multivitamin/,URL,reviews.com/best-multivitamin/,Internal,Top,01-28-2016,01-21-2016,Org,Reviews.com,4519,y,Vertical Review,01-21-2016
5612,RMI,Multivitamins,Reviews_GenNutrition_PT2,Reviews_GenNutrition_PT2,http://vegan.steverobertz.net/,http://vegan.steverobertz.net/,,,,The Best Multivitamin Brands,Misc,http://www.reviews.com/best-multivitamin/,Internal,Middle,02-01-2016,01-21-2016,Misc,Reviews.com,4520,y,Vertical Review,01-21-2016
5613,RMI,Wireless Routers,WirelessRouter_Gen_PT2,WirelessRouter_Gen_PT2,http://www.biffsocko.com/?page_id=731,http://www.biffsocko.com,,,1,The Best Wireless Router Reviews of 2015 â€“ Reviews.com,Partial,reviews.com/best-wireless-router,Internal,Middle,02-03-2016,01-28-2016,Misc,Reviews.com,4539,y,Vertical Review,01-28-2016
5614,RMI,Multivitamins,Reviews_GenNutrition_PT1,Reviews_GenNutrition_PT1,http://www.sanfordlevymd.com/tamins-minerals-and-dietary-supplements-for-optimum-health/,http://www.sanfordlevymd.com/,,,2,reviews.com/best-multivitamin,URL,reviews.com/best-multivitamin/,Internal,Middle,02-04-2016,01-21-2016,Misc,Reviews.com,4519,y,Vertical Review,01-21-2016
5615,RMI,Online Tax Software,Reviews_OnlineTaxSoftware_PT2,Reviews_OnlineTaxSoftware_PT2,http://highplains.libguides.com/c.php?g=244464&p=1627137,http://highplains.libguides.com/,,,3,Online Tax Sevices Information,Misc,http://www.reviews.com/online-tax-software/,Internal,Bottom,02-01-2016,01-12-2016,,Reviews.com,4493,y,Vertical Review,01-13-2016
5616,RMI,Multivitamins,Reviews_GenNutrition_PT1,Reviews_GenNutrition_PT1,http://www.healthquoteaz.com/linksmedical/,http://www.healthquoteaz.com/,,0,1,Best Multivitamin Brands,Misc,reviews.com/best-multivitamin/,Internal,Middle,02-02-2016,01-21-2016,Misc,Reviews.com,4519,y,Vertical Review,01-21-2016
5617,RMI,Online Tax Software,Reviews_OnlineTaxSoftware_PT1,Reviews_OnlineTaxSoftware_PT1,https://www.flowermemoriallibrary.org/node/41,https://www.flowermemoriallibrary.org,,,5,Tax Software Review,Partial,reviews.com/online-tax-software/,Internal,Middle,02-02-2016,01-13-2016,Organization,Reviews.com,4492,y,Vertical Review,01-13-2016
5618,RMI,Multivitamins,Reviews_GenNutrition_PT1,Reviews_GenNutrition_PT1,http://www.positivehealth.com/links/nutrition,http://www.positivehealth.com,,,4,www.reviews.com,URL,reviews.com/best-multivitamin/,Internal,Bottom,02-05-2016,01-21-2016,Misc,Reviews.com,4519,y,Vertical Review,01-21-2016
5619,RMI,Multivitamins,ChildNutrition_Reviews_PT1,ChildNutrition_Reviews_PT1,http://healthworldnet.com/link-directory/stay-healthy/supplements/multivitamins.html,http://healthworldnet.com,,,3,The Best Multivitamin Brands,Misc,reviews.com/best-multivitamin/#kids,Internal,Middle,02-08-2016,01-21-2016,Misc,Reviews.com,4525,y,Vertical Review,01-21-2016
5620,RMI,Multivitamins,ChildNutrition_Reviews_PT1,ChildNutrition_Reviews_PT1,http://healthworldnet.com/link-directory/opinions/ratings/,http://healthworldnet.com,,,3,Reviews.com,Exact,reviews.com,Internal,Middle,02-08-2016,01-21-2016,Misc,Reviews.com,4525,,Vertical Review,01-21-2016
